alamat_lengkap,kabkota,kecamatan,desa,partai,Suara_PKS,Ranking_PKS,Juara,Suara_Juara,Zona,Multiplier_2029,Target_PKS_2029,Gap_Menuju_Juara_2029,latitude,longitude
"DEGONG, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,DEGONG,PKS,4,7,PKB,164,Merah,1.6,50,114,0.7666667,103.5333333
"LEBUH, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,LEBUH,PKS,38,6,Golkar,138,Merah,1.6,61,77,0.7739643,103.5379072
"PENARAH, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,PENARAH,PKS,24,9,PDIP,185,Merah,1.6,50,135,0.8121807,103.5277857
"SEBELE, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,SEBELE,PKS,36,6,PKB,138,Merah,1.6,58,80,0.8297149,103.4800805
"SEI ASAM, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,SEI ASAM,PKS,23,7,Golkar,334,Merah,1.6,50,284,0.865987542,103.4435105
"TEBIAS, BELAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BELAT,TEBIAS,PKS,101,2,PKB,112,Hijau,1.15,116,-4,0.8405556,103.4352778
"BURU, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,BURU,PKS,37,9,Gerindra,294,Merah,1.6,59,235,0.8759922,103.5032081
"LUBUK PUDING, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,LUBUK PUDING,PKS,47,9,PKB,325,Merah,1.6,75,250,0.8875578,103.511882
"TANJUNG BATU KECIL, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,TANJUNG BATU KECIL,PKS,55,6,Golkar,171,Merah,1.6,88,83,0.9040513,103.4453969
"TANJUNG HUTAN, BURU, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,BURU,TANJUNG HUTAN,PKS,35,6,Golkar,326,Merah,1.6,56,270,0.8715015,103.4627375
"SANGLAR, DURAI, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,DURAI,SANGLAR,PKS,140,2,Golkar,283,Hijau,1.15,161,122,0.5795886,103.7694692
"SEMEMBANG, DURAI, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,DURAI,SEMEMBANG,PKS,19,6,Golkar,375,Merah,1.6,50,325,0.5224527,103.6333774
"TANJUNG KILANG, DURAI, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,DURAI,TANJUNG KILANG,PKS,12,6,Golkar,670,Merah,1.6,50,620,0.5409533,103.5812941
"TELAGA TUJUH, DURAI, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,DURAI,TELAGA TUJUH,PKS,27,7,Golkar,687,Merah,1.6,50,637,0.5041291,103.6102267
"LUBUK SEMUT, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,LUBUK SEMUT,PKS,187,4,PKB,1357,Kuning,1.35,252,1105,1.0052035,103.4352826
"SUNGAI LAKAM BARAT, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,SUNGAI LAKAM BARAT,PKS,330,6,Golkar,1018,Merah,1.6,528,490,0.9979916,103.4193153
"SUNGAI LAKAM TIMUR, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,SUNGAI LAKAM TIMUR,PKS,340,5,Golkar,988,Kuning,1.35,459,529,0.9979916,103.4193153
"TANJUNG BALAI, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,TANJUNG BALAI,PKS,637,2,PKB,736,Hijau,1.15,733,3,0.995919,103.4295033
"TANJUNG BALAI KOTA, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,TANJUNG BALAI KOTA,PKS,159,5,Golkar,800,Kuning,1.35,215,585,0.995919,103.4295033
"TELUK AIR, KARIMUN, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KARIMUN,TELUK AIR,PKS,323,5,PKB,958,Kuning,1.35,436,522,0.995871,103.4410621
"GADING SARI, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,GADING SARI,PKS,126,4,Golkar,314,Kuning,1.35,170,144,0.663325,103.4569571
"LUBUK, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,LUBUK,PKS,59,6,Golkar,493,Merah,1.6,94,399,0.6680523,103.416501
"SEBESI, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,SEBESI,PKS,118,4,Golkar,650,Kuning,1.35,159,491,0.7002574,103.4569571
"SEI UNGAR, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,SEI UNGAR,PKS,94,5,PKB,781,Kuning,1.35,127,654,0.7232705,103.485862
"TANJUNGBATU BARAT, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,TANJUNGBATU BARAT,PKS,187,5,PKB,761,Kuning,1.35,252,509,0.6887705,103.4367274
"TANJUNGBATU KOTA, KUNDUR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR,TANJUNGBATU KOTA,PKS,285,6,Golkar,1720,Merah,1.6,456,1264,0.663325,103.4569571
"GEMURUH, KUNDUR BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR BARAT,GEMURUH,PKS,143,5,Golkar,386,Kuning,1.35,193,193,0.867176,103.3760577
"KUNDUR, KUNDUR BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR BARAT,KUNDUR,PKS,137,5,Golkar,512,Kuning,1.35,185,327,0.81619,103.3702811
"SAWANG, KUNDUR BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR BARAT,SAWANG,PKS,286,3,Golkar,1087,Kuning,1.35,386,701,0.7374377,103.3876116
"SAWANG LAUT, KUNDUR BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR BARAT,SAWANG LAUT,PKS,123,5,Golkar,409,Kuning,1.35,166,243,0.7652307,103.3760577
"SAWANG SELATAN, KUNDUR BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR BARAT,SAWANG SELATAN,PKS,127,4,Golkar,550,Kuning,1.35,171,379,0.7050631,103.393389
"PERAYUN, KUNDUR UTARA, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR UTARA,PERAYUN,PKS,117,2,Golkar,132,Hijau,1.15,135,-3,0.8722357,103.3808597
"SEI UNGAR UTARA, KUNDUR UTARA, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR UTARA,SEI UNGAR UTARA,PKS,50,8,PKB,337,Merah,1.6,80,257,0.7556118,103.4916438
"TANJUNGBERLIAN BARAT, KUNDUR UTARA, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR UTARA,TANJUNGBERLIAN BARAT,PKS,57,6,Golkar,341,Merah,1.6,91,250,0.7788357,103.4627375
"TANJUNGBERLIAN KOTA, KUNDUR UTARA, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR UTARA,TANJUNGBERLIAN KOTA,PKS,193,4,PKB,453,Kuning,1.35,261,192,0.7788357,103.4627375
"TELUK RADANG, KUNDUR UTARA, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,KUNDUR UTARA,TELUK RADANG,PKS,53,7,Golkar,245,Merah,1.6,85,160,0.8485395,103.3991666
"BARAN BARAT, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,BARAN BARAT,PKS,421,4,Golkar,1311,Kuning,1.35,568,743,1.0029969,103.406389
"BARAN TIMUR, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,BARAN TIMUR,PKS,325,5,Golkar,806,Kuning,1.35,439,367,1.0022488,103.4050933
"MERAL KOTA, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,MERAL KOTA,PKS,183,6,Golkar,1188,Merah,1.6,293,895,1.0029391,103.391299
"PARIT BENUT, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,PARIT BENUT,PKS,244,5,PKB,657,Kuning,1.35,329,328,1.0300461,103.3646157
"SEI RAYA, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,SEI RAYA,PKS,379,4,PKB,653,Kuning,1.35,512,141,1.0206103,103.3702811
"SUNGAI PASIR, MERAL, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL,SUNGAI PASIR,PKS,496,5,Gerindra,945,Kuning,1.35,670,275,1.0026468,103.3885276
"DARUSSALAM, MERAL BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL BARAT,DARUSSALAM,PKS,267,3,Golkar,770,Kuning,1.35,360,410,1.0649477,103.3558409
"PANGKE, MERAL BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL BARAT,PANGKE,PKS,105,7,Gerindra,308,Merah,1.6,168,140,1.0534046,103.3298525
"PANGKE BARAT, MERAL BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL BARAT,PANGKE BARAT,PKS,93,6,PKB,340,Merah,1.6,149,191,1.0534046,103.3298525
"PASIR PANJANG, MERAL BARAT, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MERAL BARAT,PASIR PANJANG,PKS,250,4,Gerindra,463,Kuning,1.35,338,125,1.0907209,103.3298525
"JANG, MORO, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MORO,JANG,PKS,43,6,Gerindra,528,Merah,1.6,69,459,0.7179301,103.7231245
"MORO, MORO, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MORO,MORO,PKS,348,2,PKB,495,Hijau,1.15,400,95,0.7641522,103.7115408
"MORO TIMUR, MORO, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MORO,MORO TIMUR,PKS,176,3,Golkar,366,Kuning,1.35,238,128,0.7641522,103.7115408
"PAUH, MORO, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MORO,PAUH,PKS,31,7,Gerindra,118,Merah,1.6,50,68,0.8035229,103.6912718
"PULAU MORO, MORO, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,MORO,PULAU MORO,PKS,36,3,Golkar,215,Kuning,1.35,50,165,0.7641667,103.6738889
"PARIT, SELAT GELAM, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SELAT GELAM,PARIT,PKS,8,10,PKB,415,Merah,1.6,50,365,0.941166,103.4569571
"SELAT MENDAUN, SELAT GELAM, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SELAT GELAM,SELAT MENDAUN,PKS,6,8,PKB,261,Merah,1.6,50,211,0.9413815,103.4701134
"TULANG, SELAT GELAM, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SELAT GELAM,TULANG,PKS,12,7,PKB,436,Merah,1.6,50,386,0.9320079,103.4222797
"BULUH PATAH, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,BULUH PATAH,PKS,14,6,Golkar,139,Merah,1.6,50,89,0.8333486,103.7636752
"KEBAN, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,KEBAN,PKS,23,6,Golkar,251,Merah,1.6,50,201,0.8471315,103.7926475
"NIUR PERMAI, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,NIUR PERMAI,PKS,42,6,PKB,188,Merah,1.6,67,121,0.8775603,103.7618894
"RAWA JAYA, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,RAWA JAYA,PKS,65,5,Hanura,138,Kuning,1.35,88,50,0.8333486,103.7636752
"SELAT MIE, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,SELAT MIE,PKS,38,5,PKB,318,Kuning,1.35,51,267,0.832934,103.8796018
"SUGIE, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,SUGIE,PKS,68,5,PKB,257,Kuning,1.35,92,165,0.8333486,103.7636752
"TANJUNG PELANDUK, SUGIE BESAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,SUGIE BESAR,TANJUNG PELANDUK,PKS,34,5,Demokrat,132,Kuning,1.35,50,82,0.8654386,103.8506109
"HARJOSARI, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,HARJOSARI,PKS,259,5,PKB,458,Kuning,1.35,350,108,1.0227798,103.4078335
"KAPLING, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,KAPLING,PKS,223,5,PKB,636,Kuning,1.35,301,335,1.0122107,103.4295033
"PAMAK, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,PAMAK,PKS,160,6,Golkar,1014,Merah,1.6,256,758,1.0438311,103.3876116
"PONGKAR, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,PONGKAR,PKS,146,4,PKB,624,Kuning,1.35,197,427,1.1185167,103.3760577
"TEBING, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,TEBING,PKS,246,5,PKB,1023,Kuning,1.35,332,691,1.0320459,103.4193903
"TELUK UMA, TEBING, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,TEBING,TELUK UMA,PKS,243,5,PKB,722,Kuning,1.35,328,394,1.0414386,103.4020555
"ALAI, UNGAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,UNGAR,ALAI,PKS,75,5,PKB,365,Kuning,1.35,101,264,0.6724247,103.5032081
"BATU LIMAU, UNGAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,UNGAR,BATU LIMAU,PKS,23,7,PKB,180,Merah,1.6,50,130,0.6448096,103.4800805
"NGAL, UNGAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,UNGAR,NGAL,PKS,33,4,Golkar,184,Kuning,1.35,50,134,0.6745271,103.5755084
"SUNGAIBULUH, UNGAR, KARIMUN, Kepulauan Riau, Indonesia",KARIMUN,UNGAR,SUNGAIBULUH,PKS,23,7,Golkar,147,Merah,1.6,50,97,0.6532113,103.4816401